MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,FeatureSetup,Purpose,RepresentationStage,Representation,ImbalanceStage,ClassBalance,Model,Evaluation,Fold,Threshold,HeldOutDrug
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.8,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.85,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.9,
0.26018495398584696,0.24225352112676057,0.1396103896103896,0.6263888888888889,0.9148936170212766,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.05,
0.24737411550538332,0.2953020134228188,0.21568627450980393,0.8541666666666666,0.46808510638297873,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.1,
0.23387092058946682,0.2857142857142857,0.27450980392156865,0.9027777777777778,0.2978723404255319,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.15,
0.26415878668082843,0.28169014084507044,0.4166666666666667,0.9291666666666667,0.2127659574468085,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.2,
0.25515885390004417,0.25,0.47058823529411764,0.9333333333333333,0.1702127659574468,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.25,
0.30495135304658166,0.24561403508771928,0.7,0.9402777777777778,0.14893617021276595,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.3,
0.16132972583781846,0.11320754716981132,0.5,0.9347222222222222,0.06382978723404255,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.35,
0.09288394490274274,0.04081632653061224,0.5,0.9347222222222222,0.02127659574468085,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.4,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.45,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.5,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.55,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.6,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.65,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.7,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.75,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.8,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.85,
0.0,0.0,0.0,0.9347222222222222,0.0,0.8198918782207328,0.2944737184943989,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,2,0.9,
0.09246397721464178,0.23529411764705882,0.17391304347826086,0.7111111111111111,0.36363636363636365,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.05,Atovaquone
0.08395434125416042,0.19047619047619047,0.2,0.8111111111111111,0.18181818181818182,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.1,Atovaquone
0.14495702601062868,0.2222222222222222,0.2857142857142857,0.8444444444444444,0.18181818181818182,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.15,Atovaquone
0.17225811675152738,0.23529411764705882,0.3333333333333333,0.8555555555555555,0.18181818181818182,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.2,Atovaquone
0.0841334546665505,0.13333333333333333,0.25,0.8555555555555555,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.25,Atovaquone
0.11968637508014936,0.14285714285714285,0.3333333333333333,0.8666666666666667,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.3,Atovaquone
0.11968637508014936,0.14285714285714285,0.3333333333333333,0.8666666666666667,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.35,Atovaquone
0.11968637508014936,0.14285714285714285,0.3333333333333333,0.8666666666666667,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.4,Atovaquone
0.11968637508014936,0.14285714285714285,0.3333333333333333,0.8666666666666667,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.45,Atovaquone
0.17387722105220368,0.15384615384615385,0.5,0.8777777777777778,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.5,Atovaquone
0.17387722105220368,0.15384615384615385,0.5,0.8777777777777778,0.09090909090909091,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.55,Atovaquone
-0.03955376178208136,0.0,0.0,0.8666666666666667,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.6,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.65,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.7,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.75,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.8,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.85,Atovaquone
0.0,0.0,0.0,0.8777777777777778,0.0,0.666283084004603,0.24136457201407094,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,1,0.9,Atovaquone
0.3429971702850177,0.2857142857142857,0.16666666666666666,0.7222222222222222,1.0,0.8752941176470588,0.5253439153439153,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,LOGO,2,0.05,Chlorpromazine_Hcl
