Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.2,0.3235,0.258,0.322,0.2413,0.4385,0.3254,0.9278,0.0541,0.3332,0.3221,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.25,0.3352,0.2492,0.3165,0.2361,0.5406,0.3743,0.934,0.0514,0.278,0.2692,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.3,0.3617,0.2497,0.3331,0.24,0.6042,0.3745,0.9389,0.0516,0.278,0.2692,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.35,0.3617,0.2497,0.3331,0.24,0.6042,0.3745,0.9396,0.0521,0.278,0.2692,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.4,0.3617,0.2497,0.3331,0.24,0.6042,0.3745,0.9396,0.0521,0.278,0.2692,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.45,0.3502,0.2498,0.321,0.2389,0.5938,0.375,0.9389,0.0521,0.2676,0.2701,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.5,0.3496,0.2467,0.3121,0.2387,0.625,0.3873,0.9389,0.0523,0.2598,0.2725,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.55,0.3346,0.2228,0.2933,0.2075,0.625,0.3873,0.9382,0.0516,0.2389,0.2512,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.6,0.1725,0.1993,0.1485,0.1724,0.375,0.4282,0.9319,0.0558,0.1078,0.146,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.65,0.0518,0.1378,0.0461,0.1023,0.1562,0.3521,0.9292,0.0561,0.0286,0.0648,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.7,0.0438,0.1464,0.0387,0.1061,0.125,0.3416,0.9306,0.0583,0.0229,0.0629,0.8175,0.1493,0.4646,0.2413
LOGO,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.75,0.0191,0.1015,0.0179,0.0714,0.0625,0.25,0.9326,0.0601,0.0104,0.0417,0.8175,0.1493,0.4646,0.2413
