Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.15,0.3619,0.0764,0.3869,0.0649,0.2812,0.0525,0.8674,0.0292,0.6367,0.1311,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.1,0.3369,0.0676,0.3448,0.0547,0.2273,0.0414,0.816,0.0389,0.7333,0.1307,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.25,0.336,0.1549,0.3745,0.1359,0.3679,0.1865,0.9097,0.0243,0.4144,0.1722,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.55,0.3036,0.1363,0.2381,0.1256,0.7417,0.3344,0.9403,0.0075,0.1511,0.0934,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.6,0.3036,0.1363,0.2381,0.1256,0.7417,0.3344,0.9403,0.0075,0.1511,0.0934,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.45,0.3033,0.1523,0.2491,0.1427,0.7,0.3291,0.9396,0.0098,0.1622,0.1083,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.65,0.2945,0.1392,0.2255,0.1242,0.7417,0.3344,0.9403,0.0075,0.14,0.0906,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.5,0.2917,0.1413,0.2363,0.1264,0.6917,0.3288,0.9389,0.0091,0.1511,0.0934,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.05,0.2883,0.0481,0.279,0.0354,0.1679,0.024,0.7139,0.0497,0.84,0.1047,0.8652,0.0566,0.4164,0.1291
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.3,0.272,0.1496,0.3095,0.131,0.3592,0.1978,0.9146,0.0232,0.2878,0.1243,0.8652,0.0566,0.4164,0.1291
