Evaluation,Stage,Method,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
LOGO,B5,B5_class_weight_threshold_tuning,0.2,0.267,0.2374,0.2921,0.2121,0.2741,0.2287,0.8896,0.06,0.4054,0.3336,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.25,0.2909,0.2585,0.3149,0.2403,0.3221,0.247,0.9083,0.0608,0.3781,0.3284,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.3,0.3108,0.26,0.3162,0.2322,0.4216,0.3709,0.9208,0.0579,0.3269,0.282,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.35,0.3096,0.2485,0.3014,0.2227,0.4729,0.3765,0.9285,0.0559,0.2837,0.268,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.4,0.3357,0.2484,0.3203,0.2338,0.5312,0.356,0.9354,0.0545,0.278,0.2692,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.45,0.3265,0.2316,0.3011,0.2095,0.5625,0.3645,0.9368,0.0545,0.2468,0.2494,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.5,0.3262,0.2228,0.2911,0.2078,0.5938,0.375,0.9375,0.0516,0.2389,0.2512,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.55,0.2558,0.2204,0.216,0.1934,0.5312,0.427,0.9361,0.0503,0.1744,0.2439,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.6,0.1839,0.1914,0.1535,0.1581,0.4375,0.4425,0.9347,0.0493,0.0994,0.1098,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.65,0.1515,0.1985,0.1224,0.1617,0.375,0.4655,0.9354,0.0526,0.0789,0.1115,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.7,0.0252,0.0826,0.02,0.0548,0.0938,0.272,0.9319,0.0574,0.0114,0.0311,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.75,-0.0025,0.0099,0.0,0.0,0.0,0.0,0.934,0.0608,0.0,0.0,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8306,0.1224,0.4472,0.2206
