MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,Stage,Method,Evaluation,Fold,Threshold,ClassWeight,Sampler,ThresholdMode,HeldOutDrug
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.55,balanced,none,sweep,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.6,balanced,none,sweep,Etravirine
0.4370483222197017,0.3333333333333333,1.0,0.9555555555555556,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.65,balanced,none,sweep,Etravirine
0.0,0.0,0.0,0.9444444444444444,0.0,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.7,balanced,none,sweep,Etravirine
0.0,0.0,0.0,0.9444444444444444,0.0,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.75,balanced,none,sweep,Etravirine
0.0,0.0,0.0,0.9444444444444444,0.0,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.8,balanced,none,sweep,Etravirine
0.0,0.0,0.0,0.9444444444444444,0.0,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.85,balanced,none,sweep,Etravirine
0.0,0.0,0.0,0.9444444444444444,0.0,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.9,balanced,none,sweep,Etravirine
0.35825612764301357,0.4,0.2564102564102564,0.6666666666666666,0.9090909090909091,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.05,balanced,none,sweep,Fulvestrant
0.35557303176365396,0.4375,0.3333333333333333,0.8,0.6363636363636364,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.1,balanced,none,sweep,Fulvestrant
0.48216340621403914,0.5454545454545454,0.5454545454545454,0.8888888888888888,0.5454545454545454,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.15,balanced,none,sweep,Fulvestrant
0.5802378669525132,0.5882352941176471,0.8333333333333334,0.9222222222222223,0.45454545454545453,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.2,balanced,none,sweep,Fulvestrant
0.41335132075305253,0.4,0.75,0.9,0.2727272727272727,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.25,balanced,none,sweep,Fulvestrant
0.4976433490174631,0.42857142857142855,1.0,0.9111111111111111,0.2727272727272727,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.3,balanced,none,sweep,Fulvestrant
0.4976433490174631,0.42857142857142855,1.0,0.9111111111111111,0.2727272727272727,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.35,balanced,none,sweep,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.4,balanced,none,sweep,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.45,balanced,none,sweep,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.5,balanced,none,sweep,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.55,balanced,none,sweep,Fulvestrant
0.40400883715070857,0.3076923076923077,1.0,0.9,0.18181818181818182,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.6,balanced,none,sweep,Fulvestrant
0.284067925525857,0.16666666666666666,1.0,0.8888888888888888,0.09090909090909091,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.65,balanced,none,sweep,Fulvestrant
0.284067925525857,0.16666666666666666,1.0,0.8888888888888888,0.09090909090909091,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.7,balanced,none,sweep,Fulvestrant
0.0,0.0,0.0,0.8777777777777778,0.0,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.75,balanced,none,sweep,Fulvestrant
0.0,0.0,0.0,0.8777777777777778,0.0,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.8,balanced,none,sweep,Fulvestrant
0.0,0.0,0.0,0.8777777777777778,0.0,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.85,balanced,none,sweep,Fulvestrant
0.0,0.0,0.0,0.8777777777777778,0.0,0.832566168009206,0.6017261428698378,B5,B5_class_weight_threshold_tuning,LOGO,7,0.9,balanced,none,sweep,Fulvestrant
0.0,0.0,0.0,0.6555555555555556,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.05,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.7888888888888889,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.1,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.8777777777777778,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.15,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.8888888888888888,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.2,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9222222222222223,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.25,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9444444444444444,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.3,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9555555555555556,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.35,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.4,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.45,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.5,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.55,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.6,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9777777777777777,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.65,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,0.9888888888888889,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.7,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,1.0,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.75,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,1.0,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.8,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,1.0,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.85,balanced,none,sweep,Gefitinib
0.0,0.0,0.0,1.0,0.0,,,B5,B5_class_weight_threshold_tuning,LOGO,8,0.9,balanced,none,sweep,Gefitinib
0.39097499380795764,0.358974358974359,0.21875,0.7222222222222222,1.0,0.950946643717728,0.7380952380952381,B5,B5_class_weight_threshold_tuning,LOGO,9,0.05,balanced,none,sweep,Lumefantrine
0.37564543510699266,0.375,0.24,0.7777777777777778,0.8571428571428571,0.950946643717728,0.7380952380952381,B5,B5_class_weight_threshold_tuning,LOGO,9,0.1,balanced,none,sweep,Lumefantrine
